type_propriete,quartier,arrondissement,capacite_accueil,salle_de_bain,chambres,lits,prix,nb_commentaires,note_moyenne,nb_mois_en_activite
Complète,Batignolles-Monceau,75017,14,5.5,6.0,8.0,720.0,82,99.0,63.0
Complète,Hôtel-de-Ville,75004,2,1.0,,0.0,70.0,115,96.0,66.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,59.0,3,90.0,16.0
Complète,Reuilly,75012,3,1.0,,1.0,39.0,1,80.0,0.0
Complète,Gobelins,75013,3,1.0,2.0,2.0,75.0,27,96.0,30.0
Complète,Opéra,75009,2,1.0,1.0,1.0,284.0,2,100.0,2.0
Complète,Buttes-Montmartre,75018,3,1.0,1.0,1.0,90.0,33,98.0,60.0
Complète,Vaugirard,75015,4,1.0,1.0,3.0,85.0,0,,
Complète,Buttes-Chaumont,75019,2,1.0,,1.0,79.0,63,93.0,60.0
Complète,Opéra,75009,2,1.0,1.0,1.0,123.0,164,98.0,76.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,85.0,78,99.0,51.0
Complète,Passy,75016,3,1.0,1.0,2.0,55.0,22,89.0,38.0
Complète,Panthéon,75005,2,1.0,1.0,1.0,95.0,43,90.0,56.0
Complète,Luxembourg,75006,4,1.0,1.0,2.0,120.0,85,95.0,70.0
Complète,Élysée,75008,7,2.0,3.0,5.0,414.0,135,99.0,64.0
Complète,Ménilmontant,75020,4,1.0,1.0,2.0,45.0,0,,
Complète,Temple,75003,3,1.0,,0.0,130.0,23,98.0,42.0
Complète,Popincourt,75011,3,1.0,,4.0,75.0,28,96.0,69.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,42.0,32,86.0,13.0
Complète,Reuilly,75012,4,1.0,1.0,4.0,150.0,37,97.0,63.0
Complète,Opéra,75009,3,1.0,,2.0,58.0,4,80.0,15.0
Complète,Élysée,75008,4,1.0,,1.0,65.0,4,80.0,1.0
Complète,Entrepôt,75010,3,1.0,1.0,1.0,120.0,5,92.0,46.0
Complète,Buttes-Montmartre,75018,4,1.5,2.0,5.0,280.0,19,93.0,54.0
Complète,Ménilmontant,75020,2,1.5,,1.0,60.0,4,100.0,4.0
Complète,Panthéon,75005,4,1.5,2.0,2.0,149.0,204,92.0,74.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,1.0,55.0,3,93.0,42.0
Complète,Popincourt,75011,4,1.0,2.0,3.0,120.0,56,95.0,64.0
Complète,Batignolles-Monceau,75017,4,1.0,,2.0,55.0,399,89.0,78.0
Complète,Luxembourg,75006,2,1.0,1.0,1.0,85.0,156,93.0,66.0
Complète,Vaugirard,75015,3,1.0,1.0,2.0,57.0,48,91.0,58.0
Complète,Temple,75003,5,1.0,2.0,3.0,81.0,391,83.0,58.0
Complète,Élysée,75008,2,1.0,1.0,1.0,125.0,69,99.0,65.0
Complète,Hôtel-de-Ville,75004,2,1.0,1.0,1.0,220.0,38,99.0,53.0
Complète,Ménilmontant,75020,3,1.0,1.0,1.0,40.0,0,,
Complète,Observatoire,75014,2,1.0,1.0,2.0,135.0,22,93.0,4.0
Complète,Reuilly,75012,2,1.0,,1.0,45.0,376,94.0,78.0
Complète,Vaugirard,75015,2,1.0,1.0,0.0,120.0,14,93.0,42.0
Complète,Panthéon,75005,2,1.0,,1.0,60.0,9,96.0,3.0
Complète,Observatoire,75014,5,2.0,3.0,3.0,210.0,10,98.0,36.0
Complète,Buttes-Chaumont,75019,4,1.0,2.0,2.0,65.0,2,80.0,0.0
Chambre privée,Louvre,75001,2,1.0,1.0,1.0,71.0,26,96.0,64.0
Chambre privée,Bourse,75002,1,2.0,1.0,3.0,50.0,3,100.0,8.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,125.0,7,91.0,10.0
Complète,Batignolles-Monceau,75017,2,1.0,1.0,1.0,55.0,2,100.0,8.0
Complète,Passy,75016,6,2.0,2.0,6.0,260.0,30,92.0,47.0
Complète,Panthéon,75005,2,1.0,,1.0,62.0,278,90.0,43.0
Complète,Batignolles-Monceau,75017,2,1.0,1.0,1.0,199.0,7,100.0,25.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,49.0,17,98.0,57.0
Chambre privée,Panthéon,75005,2,1.0,1.0,1.0,70.0,1,40.0,0.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,103.0,290,97.0,78.0
Complète,Gobelins,75013,5,1.5,2.0,3.0,150.0,30,98.0,57.0
Complète,Popincourt,75011,3,1.0,1.0,2.0,285.0,25,95.0,35.0
Complète,Bourse,75002,2,1.0,1.0,1.0,100.0,73,97.0,60.0
Complète,Luxembourg,75006,4,1.0,2.0,3.0,75.0,2,100.0,0.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,2.0,300.0,95,83.0,23.0
Complète,Entrepôt,75010,5,1.0,3.0,4.0,150.0,8,94.0,53.0
Complète,Ménilmontant,75020,2,1.0,1.0,1.0,55.0,2,90.0,32.0
Complète,Reuilly,75012,2,1.0,1.0,1.0,101.0,2,80.0,16.0
Complète,Vaugirard,75015,6,1.0,3.0,5.0,390.0,10,98.0,61.0
Complète,Panthéon,75005,3,1.0,1.0,2.0,90.0,59,98.0,38.0
Complète,Batignolles-Monceau,75017,3,1.0,2.0,2.0,31.0,0,,
Complète,Palais-Bourbon,75007,3,1.0,1.0,1.0,75.0,5,92.0,51.0
Complète,Entrepôt,75010,5,1.0,3.0,3.0,150.0,3,100.0,11.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,90.0,24,97.0,46.0
Complète,Opéra,75009,2,1.0,2.0,1.0,120.0,0,,
Complète,Temple,75003,3,1.0,1.0,1.0,105.0,1,100.0,0.0
